    date,month,branch,district,demand,lat,long,month_period
01-05-2022,5,D10,22,1108,53.317868,-6.397531,2022-05
01-05-2022,5,D10,12,388,53.321125,-6.317319,2022-05
01-05-2022,5,D10,6w,99,53.308329,-6.301888,2022-05
01-05-2022,5,D10,6,114,53.321452,-6.264349,2022-05
01-05-2022,5,D10,4,49,53.328197,-6.22809,2022-05
01-05-2022,5,D10,24,642,53.285009,-6.37192,2022-05
01-05-2022,5,D10,16,140,53.281712,-6.284927,2022-05
01-05-2022,5,D10,18,40,53.263568,-6.153265,2022-05
01-06-2022,6,D10,20,1211,53.350928,-6.368541,2022-06
01-06-2022,6,D10,8,399,53.34197,-6.317348,2022-06
01-06-2022,6,D10,22,1075,53.317868,-6.397531,2022-06
01-06-2022,6,D10,12,415,53.321125,-6.317319,2022-06
01-06-2022,6,D10,6w,101,53.308329,-6.301888,2022-06
01-06-2022,6,D10,6,87,53.321452,-6.264349,2022-06
01-06-2022,6,D10,4,44,53.328197,-6.22809,2022-06
01-06-2022,6,D10,24,648,53.285009,-6.37192,2022-06
01-06-2022,6,D10,16,158,53.281712,-6.284927,2022-06
01-06-2022,6,D10,18,40,53.263568,-6.153265,2022-06
01-07-2022,7,D10,20,1169,53.350928,-6.368541,2022-07
01-07-2022,7,D10,8,382,53.34197,-6.317348,2022-07
01-07-2022,7,D10,22,957,53.317868,-6.397531,2022-07
01-07-2022,7,D10,12,391,53.321125,-6.317319,2022-07
01-07-2022,7,D10,6w,114,53.308329,-6.301888,2022-07
01-07-2022,7,D10,6,118,53.321452,-6.264349,2022-07
01-07-2022,7,D10,4,40,53.328197,-6.22809,2022-07
01-07-2022,7,D10,24,599,53.285009,-6.37192,2022-07
01-07-2022,7,D10,16,154,53.281712,-6.284927,2022-07
01-07-2022,7,D10,18,34,53.263568,-6.153265,2022-07
01-08-2022,8,D10,20,1124,53.350928,-6.368541,2022-08
01-08-2022,8,D10,8,333,53.34197,-6.317348,2022-08
01-08-2022,8,D10,22,987,53.317868,-6.397531,2022-08
01-08-2022,8,D10,12,388,53.321125,-6.317319,2022-08
01-08-2022,8,D10,6w,112,53.308329,-6.301888,2022-08
01-08-2022,8,D10,6,101,53.321452,-6.264349,2022-08
01-08-2022,8,D10,4,39,53.328197,-6.22809,2022-08
01-08-2022,8,D10,24,637,53.285009,-6.37192,2022-08
01-08-2022,8,D10,16,148,53.281712,-6.284927,2022-08
01-08-2022,8,D10,18,43,53.263568,-6.153265,2022-08
01-09-2022,9,D10,20,1284,53.350928,-6.368541,2022-09
01-09-2022,9,D10,8,399,53.34197,-6.317348,2022-09
01-09-2022,9,D10,22,1045,53.317868,-6.397531,2022-09
01-09-2022,9,D10,12,415,53.321125,-6.317319,2022-09
01-09-2022,9,D10,6w,95,53.308329,-6.301888,2022-09
01-09-2022,9,D10,6,113,53.321452,-6.264349,2022-09
01-09-2022,9,D10,4,43,53.328197,-6.22809,2022-09
01-09-2022,9,D10,24,668,53.285009,-6.37192,2022-09
01-09-2022,9,D10,16,151,53.281712,-6.284927,2022-09
01-09-2022,9,D10,18,50,53.263568,-6.153265,2022-09
01-10-2022,10,D10,20,1017,53.350928,-6.368541,2022-10
01-10-2022,10,D10,8,318,53.34197,-6.317348,2022-10
01-10-2022,10,D10,22,893,53.317868,-6.397531,2022-10
01-10-2022,10,D10,12,347,53.321125,-6.317319,2022-10
01-10-2022,10,D10,6w,89,53.308329,-6.301888,2022-10
01-10-2022,10,D10,6,81,53.321452,-6.264349,2022-10
01-10-2022,10,D10,4,34,53.328197,-6.22809,2022-10
01-10-2022,10,D10,24,535,53.285009,-6.37192,2022-10
01-10-2022,10,D10,16,139,53.281712,-6.284927,2022-10
01-10-2022,10,D10,18,36,53.263568,-6.153265,2022-10
01-11-2022,11,D10,20,1277,53.350928,-6.368541,2022-11
01-11-2022,11,D10,8,388,53.34197,-6.317348,2022-11
01-11-2022,11,D10,22,1066,53.317868,-6.397531,2022-11
01-11-2022,11,D10,12,433,53.321125,-6.317319,2022-11
01-11-2022,11,D10,6w,111,53.308329,-6.301888,2022-11
01-11-2022,11,D10,6,100,53.321452,-6.264349,2022-11
01-11-2022,11,D10,4,31,53.328197,-6.22809,2022-11
01-11-2022,11,D10,24,598,53.285009,-6.37192,2022-11
01-11-2022,11,D10,16,157,53.281712,-6.284927,2022-11
01-11-2022,11,D10,18,46,53.263568,-6.153265,2022-11
01-12-2022,12,D10,20,1385,53.350928,-6.368541,2022-12
01-12-2022,12,D10,8,413,53.34197,-6.317348,2022-12
01-12-2022,12,D10,22,1148,53.317868,-6.397531,2022-12
01-12-2022,12,D10,12,473,53.321125,-6.317319,2022-12
01-12-2022,12,D10,6w,108,53.308329,-6.301888,2022-12
01-12-2022,12,D10,6,116,53.321452,-6.264349,2022-12
01-12-2022,12,D10,4,46,53.328197,-6.22809,2022-12
01-12-2022,12,D10,24,646,53.285009,-6.37192,2022-12
01-12-2022,12,D10,16,186,53.281712,-6.284927,2022-12
01-12-2022,12,D10,18,50,53.263568,-6.153265,2022-12
01-01-2023,1,D10,20,973,53.350928,-6.368541,2023-01
01-01-2023,1,D10,8,295,53.34197,-6.317348,2023-01
01-01-2023,1,D10,22,743,53.317868,-6.397531,2023-01
01-01-2023,1,D10,12,343,53.321125,-6.317319,2023-01
01-01-2023,1,D10,6w,76,53.308329,-6.301888,2023-01
01-01-2023,1,D10,6,89,53.321452,-6.264349,2023-01
01-01-2023,1,D10,4,29,53.328197,-6.22809,2023-01
01-01-2023,1,D10,24,472,53.285009,-6.37192,2023-01
01-01-2023,1,D10,16,123,53.281712,-6.284927,2023-01
01-01-2023,1,D10,18,30,53.263568,-6.153265,2023-01
01-02-2023,2,D10,20,1079,53.350928,-6.368541,2023-02
01-02-2023,2,D10,8,317,53.34197,-6.317348,2023-02
01-02-2023,2,D10,22,863,53.317868,-6.397531,2023-02
01-02-2023,2,D10,12,351,53.321125,-6.317319,2023-02
01-02-2023,2,D10,6w,86,53.308329,-6.301888,2023-02
01-02-2023,2,D10,6,94,53.321452,-6.264349,2023-02
01-02-2023,2,D10,4,30,53.328197,-6.22809,2023-02
01-02-2023,2,D10,24,532,53.285009,-6.37192,2023-02
01-02-2023,2,D10,16,144,53.281712,-6.284927,2023-02
01-02-2023,2,D10,18,36,53.263568,-6.153265,2023-02
01-03-2023,3,D10,20,1215,53.350928,-6.368541,2023-03
01-03-2023,3,D10,8,405,53.34197,-6.317348,2023-03
01-03-2023,3,D10,22,1008,53.317868,-6.397531,2023-03
01-03-2023,3,D10,12,392,53.321125,-6.317319,2023-03
01-03-2023,3,D10,6w,105,53.308329,-6.301888,2023-03
01-03-2023,3,D10,6,101,53.321452,-6.264349,2023-03
01-03-2023,3,D10,4,56,53.328197,-6.22809,2023-03
01-03-2023,3,D10,24,619,53.285009,-6.37192,2023-03
01-03-2023,3,D10,16,171,53.281712,-6.284927,2023-03
01-03-2023,3,D10,18,45,53.263568,-6.153265,2023-03
01-04-2023,4,D10,20,1070,53.350928,-6.368541,2023-04
01-04-2023,4,D10,8,335,53.34197,-6.317348,2023-04
01-04-2023,4,D10,22,979,53.317868,-6.397531,2023-04
01-04-2023,4,D10,12,368,53.321125,-6.317319,2023-04
01-04-2023,4,D10,6w,86,53.308329,-6.301888,2023-04
01-04-2023,4,D10,6,79,53.321452,-6.264349,2023-04
01-04-2023,4,D10,4,37,53.328197,-6.22809,2023-04
01-04-2023,4,D10,24,592,53.285009,-6.37192,2023-04
01-04-2023,4,D10,16,147,53.281712,-6.284927,2023-04
01-04-2023,4,D10,18,39,53.263568,-6.153265,2023-04
01-05-2023,5,D10,20,1261,53.350928,-6.368541,2023-05
01-05-2023,5,D10,8,396,53.34197,-6.317348,2023-05
01-05-2023,5,D10,22,1026,53.317868,-6.397531,2023-05
01-05-2023,5,D10,12,407,53.321125,-6.317319,2023-05
01-05-2023,5,D10,6w,113,53.308329,-6.301888,2023-05
01-05-2023,5,D10,6,105,53.321452,-6.264349,2023-05
01-05-2023,5,D10,4,37,53.328197,-6.22809,2023-05
01-05-2023,5,D10,24,618,53.285009,-6.37192,2023-05
01-05-2023,5,D10,16,160,53.281712,-6.284927,2023-05
01-05-2023,5,D10,18,30,53.263568,-6.153265,2023-05
01-06-2023,6,D10,20,1290,53.350928,-6.368541,2023-06
01-06-2023,6,D10,8,420,53.34197,-6.317348,2023-06
01-06-2023,6,D10,22,1088,53.317868,-6.397531,2023-06
01-06-2023,6,D10,12,459,53.321125,-6.317319,2023-06
01-06-2023,6,D10,6w,98,53.308329,-6.301888,2023-06
01-06-2023,6,D10,6,98,53.321452,-6.264349,2023-06
01-06-2023,6,D10,4,52,53.328197,-6.22809,2023-06
01-06-2023,6,D10,24,673,53.285009,-6.37192,2023-06
01-06-2023,6,D10,16,169,53.281712,-6.284927,2023-06
01-06-2023,6,D10,18,61,53.263568,-6.153265,2023-06
01-07-2023,7,D10,20,1310,53.350928,-6.368541,2023-07
01-07-2023,7,D10,8,385,53.34197,-6.317348,2023-07
01-07-2023,7,D10,22,1075,53.317868,-6.397531,2023-07
01-07-2023,7,D10,12,402,53.321125,-6.317319,2023-07
01-07-2023,7,D10,6w,111,53.308329,-6.301888,2023-07
01-07-2023,7,D10,6,104,53.321452,-6.264349,2023-07
01-07-2023,7,D10,4,39,53.328197,-6.22809,2023-07
01-07-2023,7,D10,24,620,53.285009,-6.37192,2023-07
01-07-2023,7,D10,16,170,53.281712,-6.284927,2023-07
01-07-2023,7,D10,18,47,53.263568,-6.153265,2023-07
01-08-2023,8,D10,20,1326,53.350928,-6.368541,2023-08
01-08-2023,8,D10,8,390,53.34197,-6.317348,2023-08
01-08-2023,8,D10,22,1099,53.317868,-6.397531,2023-08
01-08-2023,8,D10,12,453,53.321125,-6.317319,2023-08
01-08-2023,8,D10,6w,107,53.308329,-6.301888,2023-08
01-08-2023,8,D10,6,110,53.321452,-6.264349,2023-08
01-08-2023,8,D10,4,48,53.328197,-6.22809,2023-08
01-08-2023,8,D10,24,624,53.285009,-6.37192,2023-08
01-08-2023,8,D10,16,169,53.281712,-6.284927,2023-08
01-08-2023,8,D10,18,47,53.263568,-6.153265,2023-08
01-09-2023,9,D10,20,1134,53.350928,-6.368541,2023-09
01-09-2023,9,D10,8,349,53.34197,-6.317348,2023-09
01-09-2023,9,D10,22,889,53.317868,-6.397531,2023-09
01-09-2023,9,D10,12,353,53.321125,-6.317319,2023-09
01-09-2023,9,D10,6w,92,53.308329,-6.301888,2023-09
01-09-2023,9,D10,6,94,53.321452,-6.264349,2023-09
01-09-2023,9,D10,4,31,53.328197,-6.22809,2023-09
01-09-2023,9,D10,24,552,53.285009,-6.37192,2023-09
01-09-2023,9,D10,16,140,53.281712,-6.284927,2023-09
01-09-2023,9,D10,18,30,53.263568,-6.153265,2023-09
01-10-2023,10,D10,20,1100,53.350928,-6.368541,2023-10
01-10-2023,10,D10,8,335,53.34197,-6.317348,2023-10
01-10-2023,10,D10,22,903,53.317868,-6.397531,2023-10
01-10-2023,10,D10,12,353,53.321125,-6.317319,2023-10
01-10-2023,10,D10,6w,77,53.308329,-6.301888,2023-10
01-10-2023,10,D10,6,114,53.321452,-6.264349,2023-10
01-10-2023,10,D10,4,42,53.328197,-6.22809,2023-10
01-10-2023,10,D10,24,576,53.285009,-6.37192,2023-10
01-10-2023,10,D10,16,164,53.281712,-6.284927,2023-10
01-10-2023,10,D10,18,46,53.263568,-6.153265,2023-10
01-11-2023,11,D10,20,1237,53.350928,-6.368541,2023-11
01-11-2023,11,D10,8,330,53.34197,-6.317348,2023-11
01-11-2023,11,D10,22,1023,53.317868,-6.397531,2023-11
01-11-2023,11,D10,12,401,53.321125,-6.317319,2023-11
01-11-2023,11,D10,6w,94,53.308329,-6.301888,2023-11
01-11-2023,11,D10,6,101,53.321452,-6.264349,2023-11
01-11-2023,11,D10,4,41,53.328197,-6.22809,2023-11
01-11-2023,11,D10,24,630,53.285009,-6.37192,2023-11
01-11-2023,11,D10,16,167,53.281712,-6.284927,2023-11
01-11-2023,11,D10,18,42,53.263568,-6.153265,2023-11
01-12-2023,12,D10,20,1498,53.350928,-6.368541,2023-12
01-12-2023,12,D10,8,442,53.34197,-6.317348,2023-12
01-12-2023,12,D10,22,1209,53.317868,-6.397531,2023-12
01-12-2023,12,D10,12,454,53.321125,-6.317319,2023-12
01-12-2023,12,D10,6w,129,53.308329,-6.301888,2023-12
01-12-2023,12,D10,6,119,53.321452,-6.264349,2023-12
01-12-2023,12,D10,4,51,53.328197,-6.22809,2023-12
01-12-2023,12,D10,24,721,53.285009,-6.37192,2023-12
01-12-2023,12,D10,16,168,53.281712,-6.284927,2023-12
01-12-2023,12,D10,18,58,53.263568,-6.153265,2023-12
01-01-2024,1,D10,20,983,53.350928,-6.368541,2024-01
01-01-2024,1,D10,8,288,53.34197,-6.317348,2024-01
